KID_ID,UniqueKey,Object on the page,UniqueOrderID,TrialNumber,Point Counter,Action,Correct/Incorrect,IsCorrect,Category,ViewType,Version,Book Description,Condition,Age,Age_Range
11892,1_1,CupSide_v1,1,1,1,Point,Correct,1,Cup,Side,1,Geons 1,Geons,27.1,>= 24mo
11892,1_1,CupSide_v3,1,1,2,Point,Correct,1,Cup,Side,3,Geons 1,Geons,27.1,>= 24mo
11892,1_2,CarThree-Quarter_v3,1,2,1,Point,Correct,1,Car,Three-Quarter,3,Geons 1,Geons,27.1,>= 24mo
11892,1_2,CarSide_v3,1,2,2,Point,Correct,1,Car,Side,3,Geons 1,Geons,27.1,>= 24mo
11892,1_3,DuckThree-Quarter_v4,1,3,1,Point,Correct,1,Duck,Three-Quarter,4,Geons 1,Geons,27.1,>= 24mo
11892,1_4,CarSide_v1,1,4,1,Point,Correct,1,Car,Side,1,Geons 1,Geons,27.1,>= 24mo
11892,1_5,DuckThree-Quarter_v1,1,5,1,Point,Correct,1,Duck,Three-Quarter,1,Geons 1,Geons,27.1,>= 24mo
11892,1_5,DuckSide_v1,1,5,2,Point,Correct,1,Duck,Side,1,Geons 1,Geons,27.1,>= 24mo
11892,1_6,DogSide_v1,1,6,1,Point,Correct,1,Dog,Side,1,Geons 1,Geons,27.1,>= 24mo
11892,1_6,DogSide_v2,1,6,2,Point,Correct,1,Dog,Side,2,Geons 1,Geons,27.1,>= 24mo
11892,1_7,DonkeySide_v1,1,7,1,Point,Correct,1,Donkey,Side,1,Geons 1,Geons,27.1,>= 24mo
11892,1_7,DonkeyThree-Quarter_v3,1,7,2,Point,Correct,1,Donkey,Three-Quarter,3,Geons 1,Geons,27.1,>= 24mo
11892,1_8,HatSide_v3,1,8,1,Point,Correct,1,Hat,Side,3,Geons 1,Geons,27.1,>= 24mo
11892,1_8,HatThree-Quarter_v3,1,8,2,Point,Correct,1,Hat,Three-Quarter,3,Geons 1,Geons,27.1,>= 24mo
11892,1_9,HatSide_v1,1,9,1,Point,Correct,1,Hat,Side,1,Geons 1,Geons,27.1,>= 24mo
11892,1_10,CupSide_v2,1,10,1,Point,Incorrect,0,Cup,Side,2,Geons 1,Geons,27.1,>= 24mo
11892,1_11,DogThree-Quarter_v2,1,11,1,Point,Correct,1,Dog,Three-Quarter,2,Geons 1,Geons,27.1,>= 24mo
11892,1_12,AirplaneThree-Quarter_v1,1,12,1,Point,Correct,1,Airplane,Three-Quarter,1,Geons 1,Geons,27.1,>= 24mo
11892,1_13,CarSide_v4,1,13,1,Point,Incorrect,0,Car,Side,4,Geons 1,Geons,27.1,>= 24mo
11892,1_13,DogSide_v4,1,13,2,Point,Incorrect,0,Dog,Side,4,Geons 1,Geons,27.1,>= 24mo
11892,1_14,ChairThree-Quarter_v2,1,14,1,Point,Correct,1,Chair,Three-Quarter,2,Geons 1,Geons,27.1,>= 24mo
11892,1_15,CupThree-Quarter_v1,1,15,1,Point,Correct,1,Cup,Three-Quarter,1,Geons 1,Geons,27.1,>= 24mo
11892,1_16,AirplaneThree-Quarter_v2,1,16,1,Point,Correct,1,Airplane,Three-Quarter,2,Geons 1,Geons,27.1,>= 24mo
11892,1_16,AirplaneSide_v1,1,16,2,Point,Correct,1,Airplane,Side,1,Geons 1,Geons,27.1,>= 24mo
11885,1_1,CupSide_v1,1,1,1,Point,Correct,1,Cup,Side,1,Geons 1,Geons,31.8,>= 24mo
11885,1_1,CupSide_v3,1,1,2,Point,Correct,1,Cup,Side,3,Geons 1,Geons,31.8,>= 24mo
11885,1_2,AirplaneThree-Quarter_v4,1,2,1,Point,Incorrect,0,Airplane,Three-Quarter,4,Geons 1,Geons,31.8,>= 24mo
11885,1_2,CarThree-Quarter_v3,1,2,2,Point,Correct,1,Car,Three-Quarter,3,Geons 1,Geons,31.8,>= 24mo
11885,1_3,DogSide_v3,1,3,1,Point,Incorrect,0,Dog,Side,3,Geons 1,Geons,31.8,>= 24mo
